이름,코드 약어,코드 설명,비고 1,비고2,비고3,비고4
Surface Defect,SD,"판정 범위 내의 표면의 물리적 손상 (찍힘, 긁힘 등)",표면 결함,표면,"다양한 형상, 두께 감소 또는 증가",-
Contamination,CT,강관 내부에 이물질이 잔존,이물질,표면,다양한 형상,SD 로 판정되는 경우 있음
Lack of Fusion,LF,내면 용접과 외면 용접 간의 융합 부족,융합부족,내부,"용접부 중심, 강관 길이 방향 선형",LF 또는 CR로 판정되는 경우 있음
Incomplete Penetration,IP,아크에 의한 모재부 불완전 용입,용입부족,내부,"개선부, 강관 길이 방향 선형",IP 로 판정되는 경우 있음
Porosity,PO,용접부 내에 잔존한 기체,기공,내부,"대부분 용접부 중심, 구형",SI 로 판정되는 경우 있음
" Slag Inclusion",SI,용접부 내에 잔존한 플럭스 또는 불순물,슬래그혼입,내부,"대부분 용접부 중심, 강관 길이 방향 긴 구형",PO 로 판정되는 경우 있음
Burn Through,BT,용접열에 의해 완전히 모재가 용융,용락,내부,용접부,-
Crack,CR,금속학적인 파단,균열,내부,"용접부 중심 또는 개선부, 강관 길이 방향 선형 (단, 저온 균열은 강관 길이 방향의 수직일 수 있음)",IP 또는 LF 로 판정되는 경우 있음
Under-Cut,UC,아크열에 의한 모재 개선부 표면 파임 또는 미용융,언더컷,표면,"표면 개선부, 강관 길이 방향 긴 반구형",SD 로 판정되는 경우 있음
Tungsten Inclusion,TI,TIG 용접에만 적용,텅스텐혼입,내부,"대부분 용접부 중심, 대부분 구형",-
Pork Mark,PM,용접부 표면과 슬래그 사이에 갇힌 기체에 의한 용접부 표면 손상,포크마크,표면,"용접부, 불완전 구형",SD 로 판정되는 경우 있음
Root Concavity,RC,한쪽 용접인 경우 (강관은 양쪽 용접 임),루트부오목,내부,"용접부 중심, 강관 길이 방향 긴 타원형",-
Spatter,SP,,스패터,표면,"모재부, 작은 구형",SD 로 판정되는 경우 있음
Over lap,OL,과대한 용접 비드(비드 높이 허용 기준 초과) / 용접 재시작부,오버랩,표면,용접부,SD 로 판정되는 경우 있음
Underfill,UF,과소한 용접 비드 (모재 높이 이하),언더필,내부,용접부,SD 로 판정되는 경우 있음
